state,export,role,panel,method,mean_delta_mse,energy_distance,response_loss,without_own_response_loss,identity_advantage,output_change_mse
B-interface,internal,val,native_common,no_change,6.293661360476037,27.237443619138734,33.53110489231618,33.498697874366776,,
B-interface,internal,val,native_common,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-interface,internal,val,seen,global_mean,4.7603540020359025,20.510574426231344,25.270928454076326,25.24242623679613,,
B-interface,internal,val,seen,model,5.882173226055143,27.333422876324068,33.21559615896684,33.18826277723988,0.2871397675956711,0.024929346380146194
B-interface,internal,val,seen,no_change,4.899823893799088,20.769979508824175,25.66980334117132,25.64101523527945,,
B-interface,internal,val,seen,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-interface,internal,val,unseen,global_mean,7.532479180755867,28.36997667003747,35.90245557137101,35.90214720794425,,
B-interface,internal,val,unseen,model,8.777220028892513,34.14815644455681,42.92537663803862,42.92513028658596,0.05370850846143607,0.017408518004462237
B-interface,internal,val,unseen,no_change,7.726731053203646,28.79131102750973,36.51804270897088,36.5176776576491,,
B-joint,external,external,all,global_mean,4.233731171800326,27.863338048386886,32.097069200468404,32.048893969150264,,
B-joint,external,external,all,model,27.24424855629837,173.31167636240636,200.55592489021888,200.54957032354127,0.057611689649813884,0.006639692583246247
B-joint,external,external,all,no_change,4.533118653454774,29.775339013445915,34.3084577028622,34.2586917691638,,
B-joint,external,external,all,perturbation_mean,4.733406054768892,34.42920393527835,39.16260989728077,39.1468713563854,,
B-joint,external,external,native_all,global_mean,4.159581395172996,28.501102574729636,32.6606839751058,32.610438317312656,,
