export,role,model_id,panel,state,metric,contrast,pairs,undefined,unmatched_left,unmatched_right,delta,relative_improvement_pct,ci_low,ci_high
external,val,ACH-000551,seen,B-interface,response_loss,wrong_minus_correct,874,0,0,0,0.1574665831210138,,0.11199811859861936,0.20728639622029227
external,val,ACH-000551,seen,B-interface,mean_delta_mse,wrong_minus_correct,874,0,0,0,0.025551433568006248,,0.017958199355146025,0.03385334879773705
external,val,ACH-000551,seen,B-interface,energy_distance,wrong_minus_correct,874,0,0,0,0.13191514004286145,,0.09425869372125618,0.173570794950088
external,val,ACH-000551,seen,B-interface,without_own_response_loss,wrong_minus_correct,874,0,0,0,0.15790975132032165,,0.11260223944754562,0.20777854570398607
external,val,ACH-000551,seen,B-joint,response_loss,wrong_minus_correct,874,0,0,0,0.007036525979467775,,-0.015543575461452179,0.029063381395841324
external,val,ACH-000551,seen,B-joint,mean_delta_mse,wrong_minus_correct,874,0,0,0,0.0007904951850666281,,-0.007575965658750831,0.009520299636526602
external,val,ACH-000551,seen,B-joint,energy_distance,wrong_minus_correct,874,0,0,0,0.006246602562525561,,-0.012863270041599588,0.026408137271277162
external,val,ACH-000551,seen,B-joint,without_own_response_loss,wrong_minus_correct,874,0,0,0,0.00701237554135526,,-0.015535269503736996,0.029043116624076368
external,val,ACH-000551,seen,B-unfreeze,response_loss,wrong_minus_correct,874,0,0,0,1.4200382890363035,,1.0779674622355118,1.7950107164493414
external,val,ACH-000551,seen,B-unfreeze,mean_delta_mse,wrong_minus_correct,874,0,0,0,0.22870973289967675,,0.17113420237529195,0.29426972622328884
external,val,ACH-000551,seen,B-unfreeze,energy_distance,wrong_minus_correct,874,0,0,0,1.191328569844331,,0.9079262377741133,1.501879305021168
external,val,ACH-000551,seen,B-unfreeze,without_own_response_loss,wrong_minus_correct,874,0,0,0,1.4208609587813406,,1.078238431610832,1.795797870734736
external,val,ACH-000551,unseen,B-continue,response_loss,wrong_minus_correct,109,0,0,0,0.0004358204132919115,,-0.10451031914544776,0.10358113505424703
