depmap_column,gene_symbol,entrez_id,training_std,training_dependency_prevalence,training_line_count
MRPL39 (54148),MRPL39,54148,0.3127229956966608,0.5757575757575758,33
MRPL4 (51073),MRPL4,51073,0.3635451243157362,0.7878787878787878,33
MRPL41 (64975),MRPL41,64975,0.35064437306812557,0.6666666666666666,33
MRPL49 (740),MRPL49,740,0.40943628681177124,0.7878787878787878,33
MRPL53 (116540),MRPL53,116540,0.34382865678154323,0.7272727272727273,33
MRPL55 (128308),MRPL55,128308,0.28715101905497653,0.6060606060606061,33
MRPS10 (55173),MRPS10,55173,0.35098201215678443,0.5454545454545454,33
MRPS11 (64963),MRPS11,64963,0.45716952852357956,0.7272727272727273,33
MRPS12 (6183),MRPS12,6183,0.3244953923597846,0.6363636363636364,33
MRPS14 (63931),MRPS14,63931,0.31746727423002197,0.6363636363636364,33
MRPS16 (51021),MRPS16,51021,0.2850507894915296,0.7272727272727273,33
MRPS24 (64951),MRPS24,64951,0.3097979400958592,0.42424242424242425,33
MRPS25 (64432),MRPS25,64432,0.2871931508597357,0.48484848484848486,33
MRPS34 (65993),MRPS34,65993,0.3124399088984243,0.7272727272727273,33
MRPS5 (64969),MRPS5,64969,0.36541995194510013,0.696969696969697,33
MRPS6 (64968),MRPS6,64968,0.3767996740993364,0.6060606060606061,33
MRPS7 (51081),MRPS7,51081,0.31835917615686377,0.45454545454545453,33
MTCH2 (23788),MTCH2,23788,0.4152434133458698,0.18181818181818182,33
MTG1 (92170),MTG1,92170,0.28786613535375405,0.30303030303030304,33
MTG2 (26164),MTG2,26164,0.30099301891926145,0.5151515151515151,33
MTHFD1 (4522),MTHFD1,4522,0.4498195177490788,0.3333333333333333,33
MTPAP (55149),MTPAP,55149,0.3085685819400093,0.7878787878787878,33
MTX2 (10651),MTX2,10651,0.5980267604717912,0.15151515151515152,33
MVD (4597),MVD,4597,0.34941544529610813,0.7272727272727273,33
MYB (4602),MYB,4602,0.5138550963664726,0.15151515151515152,33
MYBBP1A (10514),MYBBP1A,10514,0.28528404001603513,0.7878787878787878,33
MYBL2 (4605),MYBL2,4605,0.30291834321623673,0.36363636363636365,33
MYH9 (4627),MYH9,4627,0.42597278675781214,0.45454545454545453,33
NAA20 (51126),NAA20,51126,0.29715986559655555,0.7878787878787878,33
NAMPT (10135),NAMPT,10135,0.6707580833445856,0.2727272727272727,33
NAPG (8774),NAPG,8774,0.5390803917687612,0.696969696969697,33
NARS2 (79731),NARS2,79731,0.2949778941229381,0.18181818181818182,33
NBAS (51594),NBAS,51594,0.3524035028177392,0.3939393939393939,33
NCAPD3 (23310),NCAPD3,23310,0.4767762088080708,0.7878787878787878,33
NCKAP1 (10787),NCKAP1,10787,0.3305107401512355,0.5454545454545454,33
NDC1 (55706),NDC1,55706,0.3350752834399457,0.7878787878787878,33
NDE1 (54820),NDE1,54820,0.3644505954692513,0.45454545454545453,33
NDUFA4 (4697),NDUFA4,4697,0.3500556938681799,0.42424242424242425,33
NDUFA8 (4702),NDUFA8,4702,0.33671366339801767,0.48484848484848486,33
NDUFAB1 (4706),NDUFAB1,4706,0.3784330664175219,0.7878787878787878,33
NDUFB10 (4716),NDUFB10,4716,0.31533448884640014,0.696969696969697,33
NDUFB11 (54539),NDUFB11,54539,0.3312093454377605,0.30303030303030304,33
NDUFB3 (4709),NDUFB3,4709,0.288847250292828,0.7272727272727273,33
NDUFB4 (4710),NDUFB4,4710,0.3265075390607245,0.5757575757575758,33
NDUFB6 (4712),NDUFB6,4712,0.2850462864913129,0.5151515151515151,33
NDUFC2 (4718),NDUFC2,4718,0.3025367840822386,0.3939393939393939,33
NELFCD (51497),NELFCD,51497,0.31735302030760565,0.7575757575757576,33
NFE2L2 (4780),NFE2L2,4780,0.39917452115589996,0.21212121212121213,33
NFRKB (4798),NFRKB,4798,0.28639562657636836,0.36363636363636365,33
NHLRC2 (374354),NHLRC2,374354,0.5481219342218269,0.6363636363636364,33
